Bairro,Link,Aluguel Cheio,Aluguel com Bonificação,Condomínio,IPTU,Total / Mês,Dormitórios
Jardim Paulistano,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paulistano/235710,"1.390,00","1.112,00","267,55","45,47",1425.02,1
Vila Monteiro Gleba I,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Monteiro-Gleba-I/235677,"1.528,75","1.223,00","400,00","93,79",1716.79,2
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/235595,"2.917,50","2.334,00","350,00","50,00",2734.0,1
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/235586,"1.667,50","1.334,00","235,00","35,00",1604.0,1
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/235536,"1.945,00","1.556,00","420,00",,1976.0,1
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/235498,"1.500,00","1.200,00","411,00","60,00",1671.0,2
Jardim Santa Paula,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Santa-Paula/235463,"2.250,00","1.800,00","480,00","78,11",2358.11,2
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/235446,"1.528,75","1.223,00","90,00","53,51",1366.51,1
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/235428,"2.917,50","2.334,00","388,17","91,64",2813.81,1
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/235412,"1.250,00","1.000,00","306,00","15,00",1321.0,1
Cidade Jardim,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/235409,"1.937,50","1.550,00","462,84","50,00",2062.84,2
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/235335,"2.500,00","2.000,00","300,00","74,54",2374.54,1
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/235265,"1.320,00","1.056,00","340,00","56,32",1452.32,2
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/235122,"2.083,75","1.667,00","400,00","45,00",2112.0,1
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/235121,"2.083,75","1.667,00","400,00","45,00",2112.0,1
Vila Monteiro Gleba I,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Apartamento-sem-condominio/Vila-Monteiro-Gleba-I/235116,"2.750,00","2.200,00","150,00","150,00",2500.0,3
Jardim Macarengo,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Macarengo/235114,"3.056,25","2.445,00","378,00","100,00",2923.0,3
Jardim Jockei Club A,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Jockei-Club-A/235097,"1.667,50","1.334,00","252,20","83,06",1669.26,2
Jardim Bethania,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Bethania/234981,"2.083,75","1.667,00","623,13","171,84",2461.97,3
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/234943,"2.917,50","2.334,00",,,2334.0,2
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/234875,"2.222,50","1.778,00","176,00","40,00",1994.0,1
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/234858,"3.333,75","2.667,00","282,00",,2949.0,1
Vila Monteiro Gleba I,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Monteiro-Gleba-I/234778,"1.500,00","1.200,00","200,00","93,00",1493.0,1
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Kitchnet/Cidade-Jardim/234621,"2.015,00","1.612,00",,,1612.0,2
Jardim Centenario,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Centenario/234586,"1.500,00","1.200,00","32,21","276,89",1509.1,2
Jardim Nova Santa Paula,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Nova-Santa-Paula/234557,"1.361,25","1.089,00","265,00",,1354.0,1
Jardim Nova Santa Paula,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Nova-Santa-Paula/234555,"1.528,75","1.223,00","265,00",,1488.0,1
Jardim Bethania,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Bethania/234509,"2.778,75","2.223,00","450,00","75,00",2748.0,2
Jardim Jockei Club A,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Jockei-Club-A/234483,"2.361,25","1.889,00","513,00","46,55",2448.55,2
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/234458,"3.000,00","2.400,00","250,74","47,85",2698.59,1
Jardim Jockei Club A,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Jockei-Club-A/234448,"1.111,25","889,00","730,00","51,55",1670.55,3
